Adams Ale ,2009,Gelding,Ishiguru (USA),Aqua ,Paul Midgley,73,,,
Addiction ,2005,Filly,Alflora (IRE),Premier Princess,Jeremy Scott,,,113,
Addictive Dream (IRE),2007,Gelding,Kheleyf (USA),Nottambula (IRE),David Nicholls,100,,,
Addictive Nature (IRE),2010,Gelding,Acclamation ,Movie Queen ,Clive Cox,58,,,
Addikt (IRE),2005,Colt,Diktat ,Frond ,John Spearing,48,,,
Address Unknown ,2007,Gelding,Oasis Dream ,Return (USA),Richard Fahey,100,,,
Adelar (GER),2005,Gelding,Samum (GER),Arpista (GER),Venetia Williams,,,,125
Adhwaa ,2011,Filly,Oasis Dream ,Hammiya (IRE),J. W. Hills,92,,,
Adiator ,2008,Filly,Needwood Blade ,Retaliator ,Neville Bycroft,61,,,
Adili (IRE),2009,Gelding,Dubai Destination (USA),Adirika (IRE),Brian Ellison,52,56,,79
Adios Alonso (IRE),2006,Gelding,Saffron Walden (FR),Rosy Rockford (IRE),Rosemary Gasson,,,,90
Adiynara (IRE),2008,Filly,Halling (USA),Adirika (IRE),Neil Mulholland,69,,,113
Admirable Art (IRE),2010,Gelding,Excellent Art ,Demi Voix ,Tony Carroll,61,,,
Admirable Duque (IRE),2006,Gelding,Selkirk (USA),Stunning (USA),Dominic Ffrench Davis,67,73,,100
Admiral Blake ,2007,Gelding,Witness Box (USA),Brenda Bella (FR),Laura Young,,,,75
Admiral Boom (IRE),2006,Gelding,Beneficial ,Gleann Na Smaointe (IRE),Paul Henderson,,,,88
Admiral Hawke (IRE),2006,Gelding,Stowaway ,Classical Rachel (IRE),Brian Ellison,,,,112
Admiralofthesea (USA),2010,Gelding,Henrythenavigator (USA),Duchess Royale (IRE),Robert Eddery,62,,,
Admirals Walk (IRE),2010,Gelding,Tagula (IRE),Very Racy (USA),Barry Brennan,57,,,
Admiralty ,2009,Colt,Iffraaj ,Camp Riverside (USA),Ismail Mohammed,83,,,
Adorable Choice (IRE),2008,Filly,Choisir (AUS),Burnin' Memories (USA),Tom Dascombe,52,,,
Adore ,2011,Filly,Oasis Dream ,Fantasize ,Sir Michael Stoute,67,,,
Adrenalin Flight (IRE),2006,Gelding,Dr Massini (IRE),Chapel Queen (IRE),Seamus Mullins,,,114,
Adroitly (AUS),2007,Gelding,Octagonal (NZ),Easy Out (AUS),Saeed bin Suroor,100,,,
Advanced ,2003,Gelding,Night Shift (USA),Wonderful World (GER),Kevin Ryan,75,,,
Adventure Seeker (IRE),2011,Colt,Dalakhani (IRE),Adventure (USA),Ed Vaughan,78,,,
Advisor (FR),2006,Gelding,Anabaa (USA),Armilina (FR),Mark Gillard,68,,,101
Advisory ,2010,Gelding,Street Cry (IRE),Abhisheka (IRE),Mark Johnston,67,,,
Aegaeus ,2009,Gelding,Monsun (GER),Ouija Board ,Ed Dunlop,78,88,,
Aegean Dawn ,2005,Gelding,Alflora (IRE),Wychnor Dawn (IRE),Robert Walford,,,,134
Aegean Destiny ,2007,Filly,Beat Hollow ,Starlist ,John Mackie,52,47,,94
Aeolus ,2011,Colt,Araafa (IRE),Bright Moll ,Ed McMahon,101,,,
Aerial (FR),2006,Gelding,Turgeon (USA),Fille Formidable (USA),Paul Nicholls,,,,139
Aerodynamic (IRE),2007,Gelding,Oratorio (IRE),Willowbridge (IRE),Michael Easterby,69,,,
Aeronwyn Bryn (IRE),2010,Filly,Dylan Thomas (IRE),Hecuba ,Michael Dods,90,,,
Aertex (IRE),2011,Filly,Exceed And Excel (AUS),Gingham ,Richard Hannon,76,,,
Aesops Fables (USA),2009,Gelding,Distorted Humor (USA),Abhisheka (IRE),Saeed bin Suroor,100,,,
Aetna ,2010,Filly,Indesatchel (IRE),On The Brink ,Michael Easterby,86,,,
Aficionado ,2010,Gelding,Halling (USA),Prithee ,Chris Grant,70,,,114
Afkar (IRE),2008,Gelding,Invincible Spirit (IRE),Indienne (IRE),Clive Brittain,69,,,
African Gold (IRE),2008,Gelding,King's Theatre (IRE),Mrs Dempsey (IRE),Nigel Twiston-Davies,,,140,
African Oil (FR),2010,Gelding,Royal Applause ,Ahdaaf (USA),Charles Hills,85,,,
African Story ,2007,Gelding,Pivotal ,Blixen (USA),Saeed bin Suroor,120,,,
Afro ,2010,Filly,Araafa (IRE),Largo (IRE),Peter Hedger,64,,,
Afsare ,2007,Gelding,Dubawi (IRE),Jumaireyah ,Luca Cumani,116,,,
After The Goldrush ,2011,Gelding,Kyllachy ,Fine Lady ,Richard Hannon,71,,,
After The Storm ,2009,Gelding,Dylan Thomas (IRE),Inchiri ,John O'Shea,65,,,
Against The Wind ,2003,Gelding,Anshan,Harvest Memories ,Lucinda Russell,,,94,
Agapanthus (GER),2005,Gelding,Tiger Hill (IRE),Astilbe (GER),Neil Mulholland,46,,,88
Agent Allison ,2010,Filly,Dutch Art ,Loquacity ,Peter Chapple-Hyam,95,,,
Agent Archie (USA),2007,Gelding,Smart Strike (CAN),Dans La Ville (CHI),Donald McCain,,,123,126
Agent Fedora ,2008,Filly,Kayf Tara ,Flora Poste ,Kim Bailey,,,,86
Agerzam ,2010,Gelding,Holy Roman Emperor (IRE),Epiphany ,Roger Varian,79,85,,
Agesilas (FR),2008,Gelding,Ultimately Lucky (IRE),Aimessa du Berlais (FR),Andrew Crook,,,,94
Aggies Lad (IRE),2002,Gelding,Saddlers' Hall (IRE),Grangemills,Alison Hamilton,,,,105
Agglestone Rock ,2005,Gelding,Josr Algarhoud (IRE),Royalty (IRE),Philip Kirby,,,,115
Aghill (IRE),2004,Gelding,Denel (FR),Hannah's Pet (IRE),Lawney Hill,,,,94
Agincourt Reef (IRE),2009,Gelding,Gold Well ,Hillside Native (IRE),Gary Moore,,,,117
Agitation ,2004,Gelding,Cloudings (IRE),Shadowgraff ,Alan Hollingsworth,,,,68
Aglaophonos ,2010,Gelding,Dutch Art ,Lasting Image ,Ian Williams,74,,,114
Agricultural ,2006,Gelding,Daylami (IRE),Rustic (IRE),Lucy Normile,,,94,
Ahcomeretome (IRE),2005,Gelding,Oscar Schindler (IRE),Call Me Over (IRE),Lady Susan Brooke,,,,88
Ahead Ahead (IRE),2005,Gelding,Heron Island (IRE),Lady Tenby (IRE),David Rees,,,,105
Ahern ,2010,Gelding,Dutch Art ,Petra Nova ,David Barron,87,,,
Ahhdehken ,2005,Gelding,Cloudings (IRE),Swazi Princess (IRE),Alistair Whillans,,,,83
Ahoy There (IRE),2011,Gelding,Captain Rio ,Festivite (IRE),Tom Tate,65,,,
Ahtoug ,2008,Colt,Byron ,Cherokee Rose (IRE),Charlie Appleby,101,,,
Ahyaknowyerself (IRE),2006,Gelding,Milan ,Summer Break (IRE),Dr Richard Newland,,,,147
Ahzeemah (IRE),2009,Gelding,Dubawi (IRE),Swiss Roll (IRE),Saeed bin Suroor,113,,,
Aiken ,2008,Colt,Selkirk (USA),Las Flores (IRE),John Gosden,102,,,
Aikideau (FR),2007,Gelding,Le Balafre (FR),Kizitso (FR),Jack Barber,,,109,
Aikman (IRE),2004,Gelding,Rudimentary (USA),Omas Lady (IRE),James Ewart,,,120,127
Ailanthus ,2009,Filly,Trade Fair ,The Abbess ,Richard Woollacott,,,,94
Ailsa Craig (IRE),2006,Filly,Chevalier (IRE),Sharplaw Destiny (IRE),Edwin Tuer,71,,,
Aim ,2005,Gelding,Weetman's Weigh (IRE),Ballet On Ice (FR),Sean Curran,,,,90
Aimigayle ,2003,Filly,Midnight Legend ,Cherrygayle (IRE),Suzy Smith,,,119,118
Ainmire ,2011,Colt,Tobougg (IRE),Ames Souer (IRE),John Quinn,59,,,
Aint Got A Scooby (IRE),2010,Colt,Red Clubs (IRE),La Bataille (USA),Clive Cox,74,,,
Air Chief ,2005,Gelding,Dr Fong (USA),Fly For Fame ,Andrew Crook,,,107,107
Air Force One (GER),2002,Gelding,Lando (GER),Ame Soeur (FR),Lawney Hill,,,,112
Air of Glory (IRE),2010,Gelding,Shamardal (USA),Balloura (USA),John Ferguson,80,,,
Airedale Lad (IRE),2001,Gelding,Charnwood Forest (IRE),Tamarsiya (USA),Zoe Davison,37,,,65
Airmens Friend (IRE),2006,Gelding,Craigsteel ,High Academy (IRE),Charlie Mann,,,,96
Aitch Factor ,2006,Gelding,Beat All (USA),Farmers Girl ,Henry Hogarth,,,,70
